,CO_POSICAO,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,ANO,QUESTOES,ALTERNATIVAS
2019,31,C,2.41405,1.4133,0.13744,2016,"TEXTO IImagem de São Benedito. Disponível em: http://acervo.bndigital.bn.br.  Acesso em: 6 jan. 2016 (adaptado).TEXTO IIOs santos tornaram-se grandes aliados da Igreja para atrair novos devotos, pois eram obedientes a Deus e ao poder clerical. Contando e estimulando o conhecimento sobre a vida dos santos, a Igreja transmitia aos ﬁéis os ensinamentos que julgava corretos e que deviam ser imitados por escravos que, em geral, traziam outras crenças de suas terras de origem, muito diferentes das que preconizava a fé católica.OLIVEIRA, A. J. Negra devoção. Revista de História da Biblioteca Nacional,  n. 20, maio 2007 (adaptado).Posteriormente ressigniﬁcados no interior de certas irmandades e no contato com outra matriz religiosa, o ícone e a prática mencionada no texto estiveram desde o século XVII relacionados a um esforço da Igreja Católica para",A: reduzir o poder das confrarias; B: cristianizar a população afro-brasileira; C: espoliar recursos materiais dos cativos; D: recrutar libertos para seu corpo eclesiástico; E: atender a demanda popular por padroeiros locais
2043,42,C,2.8032,0.30658,0.18845,2016,"Em 1935, o governo brasileiro começou a negar vistos a judeus. Posteriormente, durante o Estado Novo, uma circular secreta proibiu a concessão de vistos a “pessoas de origem semita”, inclusive turistas e negociantes, o que causou uma queda de 75% da imigração judaica ao longo daquele ano. Entretanto, mesmo com as imposições da lei, muitos judeus continuaram entrando ilegalmente no país durante a guerra e as ameaças de deportação em massa nunca foram concretizadas, apesar da extradição de alguns indivíduos por sua militância política.GRIMBERG, K. Nova língua interior: 500 anos de história dos judeus no Brasil. In: IBGE. Brasil: 500 anos de povoamento. Rio de Janeiro: IBGE, 2000 (adaptado).Uma razão para a adoção da política de imigração mencionada no texto foi o(a)",A: receio do controle sionista sobre a economia nacional; B: reserva de postos de trabalho para a mão de obra local; C: oposição do clero católico à expansão de novas religiões; D: apoio da diplomacia varguista às opiniões dos líderes árabes; E: simpatia de membros da burocracia pelo projeto totalitário alemão
2151,12,E,2.7462,0.89411,0.13599,2016,"Pirro aﬁrmava que nada é nobre nem vergonhoso, justo ou injusto; e que, da mesma maneira, nada existe do ponto de vista da verdade; que os homens agem apenas segundo a lei e o costume, nada sendo mais isto do que aquilo. Ele levou uma vida de acordo com esta doutrina, nada procurando evitar e não se desviando do que quer que fosse, suportando tudo, carroças, por exemplo, precipícios, cães, nada deixando ao arbítrio dos sentidos.LAÉRCIO, D. Vidas e sentenças dos filósofos ilustres . Brasília: Editora UnB, 1988.O ceticismo, conforme sugerido no texto, caracteriza-se por:",A: Desprezar quaisquer convenções e obrigações da sociedade; B: Atingir o verdadeiro prazer como o princípio e o fim da vida feliz.; C: Defender a indiferença e a impossibilidade de obter alguma certeza; D: Aceitar o determinismo e ocupar-se com a esperança transcendente; E: Agir de forma virtuosa e sábia a ﬁm de enaltecer o homem bom e belo
2233,34,C,1.58173,1.4933,0.23507,2016,"O conceito de função social da cidade  incorpora a organização do espaço físico como fruto da regulação social, isto é, a cidade deve contemplar todos os seus moradores e não somente aqueles que estão no mercado formal da produção capitalista da cidade. A tradição dos códigos de ediﬁcação, uso e ocupação do solo no Brasil sempre partiram do pressuposto de que a cidade não tem divisões entre os incluídos e os excluídos socialmente.QUINTO JR., L. P. Nova legislação urbana e os velhos fantasmas.  Estudos Avançados (USP), n. 47, 2003 (adaptado).Uma política governamental que contribui para viabilizar a função social da cidade, nos moldes indicados no texto, é a",A: qualiﬁcação de serviços públicos em bairros periféricos; B: implantação de centros comerciais em eixos rodoviários; C: proibição de construções residenciais em regiões íngremes; D: disseminação de equipamentos culturais em locais turísticos; E: desregulamentação do setor imobiliário em áreas favelizadas
2263,16,A,2.50024,2.13138,0.22077,2016,"O bioma Cerrado foi considerado recentemente um dos 25 hotspots de biodiversidade do mundo, segundo uma análise em escala mundial das regiões biogeográﬁcas sobre áreas globais prioritárias para conservação. O conceito de hotspot foi criado tendo em vista a escassez de recursos direcionados para conservação, com o objetivo de apresentar os chamados “pontos quentes”, ou seja, locais para os quais existe maior necessidade de direcionamento de esforços, buscando evitar a extinção de muitas espécies que estão altamente ameaçadas por ações antrópicas.  PINTO, P. P.; DINIZ-FILHO, J. A. F. In: ALMEIDA, M. G. (Org.). Tantos cerrados:  múltiplas abordagens sobre a biogeodiversidade e singularidade cultural.  Goiânia: Vieira, 2005 (adaptado).A necessidade desse tipo de ação na área mencionada tem como causa a",A: intensiﬁcação da atividade turística; B: implantação de parques ecológicos; C: exploração dos recursos minerais; D: elevação do extrativismo vegetal; E: expansão da fronteira agrícola
2341,10,A,2.11915,2.02381,0.11164,2016,"TEXTO IMais de 50 mil refugiados entraram no território húngaro apenas no primeiro semestre de 2015. Budapeste lançou os “trabalhos preparatórios” para a  construção de um muro de quatro metros de altura e  175 km ao longo de sua fronteira com a Sérvia, informou o ministro húngaro das Relações Exteriores. “Uma resposta comum da União Europeia a este desaﬁo da imigração é muito demorada, e a Hungria não pode esperar. Temos que agir”, justiﬁcou o ministro.Disponível em: www.portugues.rﬁ.fr. Acesso em: 19 jun. 2015 (adaptado).TEXTO IIO Alto Comissariado das Nações Unidas para Refugiados (ACNUR) critica as manifestações de xenofobia adotadas pelo governo da Hungria. O país foi invadido por cartazes nos quais o chefe do executivo insta os imigrantes a respeitarem as leis e a não “roubarem” os empregos dos húngaros. Para o ACNUR, a medida é surpreendente, pois a xenofobia costuma ser instigada por pequenos grupos radicais e não pelo próprio governo do país.Disponível em: http://pt.euronews.com. Acesso em: 19 jun. 2015 (adaptado).O posicionamento governamental citado nos textos é criticado pelo ACNUR por ser considerado um caminho para o(a)",A: alteração do regime político; B: fragilização da supremacia nacional; C: expansão dos domínios geográﬁcos; D: cerceamento da liberdade de expressão; E: fortalecimento das práticas de discriminação
2383,13,D,4.76122,1.05194,0.16238,2016,"A sociologia ainda não ultrapassou a era das construções e das sínteses ﬁlosóﬁcas. Em vez de assumir a tarefa de lançar luz sobre uma parcela restrita do campo social, ela prefere buscar as brilhantes generalidades em que todas as questões são levantadas sem que nenhuma seja expressamente tratada.  Não é com exames sumários e por meio de intuições rápidas que se pode chegar a descobrir as leis de uma realidade tão complexa. Sobretudo, generalizações às vezes tão amplas e tão apressadas não são suscetíveis de nenhum tipo de prova. DURKHEIM, E. O suicídio : estudo de sociologia. São Paulo: Martins Fontes, 2000.O texto expressa o esforço de Émile Durkheim em construir uma sociologia com base na",A: vinculação com a ﬁlosoﬁa como saber uniﬁcado; B: reunião de percepções intuitivas para demonstração; C: formulação de hipóteses subjetivas sobre a vida social; D: adesão aos padrões de investigação típicos das ciências naturais; E: incorporação de um conhecimento alimentado pelo engajamento político
2410,4,E,1.88123,0.60943,0.24326,2016,"Disponível em: www.imageforum-diffusion.afp.com. Acesso em: 6 jan. 2016.O regime do Apartheid  adotado de 1948 a 1994 na África do Sul fundamentava-se em ações estatais de segregacionismo racial. Na imagem, fuzileiros navais fazem valer a “lei do passe” que regulamentava o(a)","A: concentração fundiária, impedindo os negros de tomar posse legítima do uso da terra; B: boicote econômico, proibindo os negros de consumir produtos ingleses sem resistência armada; C: sincretismo religioso, vetando os ritos sagrados dos negros nas cerimônias oﬁciais do Estado; D: controle sobre a movimentação, desautorizando os negros a transitar em determinadas áreas das cidades; E: exclusão do mercado de trabalho, negando à população negra o acesso aos bens de consumo"
2426,44,B,1.8767,0.56914,0.39136,2016,"A linhagem dos primeiros críticos ambientais brasileiros não praticou o elogio laudatório da beleza e da grandeza do meio natural brasileiro. O meio natural foi elogiado por sua riqueza e potencial econômico, sendo sua destruição interpretada como um signo de atraso, ignorância e falta de cuidado.PÁDUA, J. A. Um sopro de destruição: pensamento político e crítica ambiental no Brasil escravista (1786-1888). Rio de Janeiro: Zahar, 2002 (adaptado).Descrevendo a posição dos críticos ambientais brasileiros dos séculos XVIII e XIX, o autor demonstra que, via de regra, eles viam o meio natural como",A: ferramenta essencial para o avanço da nação; B: dádiva divina para o desenvolvimento industrial; C: paisagem privilegiada para a valorização fundiária; D: limitação topográﬁca para a promoção da urbanização; E: obstáculo climático para o estabelecimento da civilização
2490,3,A,3.51583,1.16631,0.23736,2016,"O coronelismo era fruto de alteração na relação de forças entre os proprietários rurais e o governo, e signiﬁcava o fortalecimento do poder do Estado antes que o predomínio do coronel. Nessa concepção, o coronelismo é, então, um sistema político nacional, com base em barganhas entre o governo e os coronéis. O coronel tem o controle dos cargos públicos, desde o delegado de polícia até a professora primária. O coronel hipoteca seu apoio ao governo, sobretudo na forma de voto.CARVALHO, J. M. Pontos e bordados : escritos de história política.  Belo Horizonte: Editora UFMG, 1998 (adaptado).No contexto da Primeira República no Brasil, as relações políticas descritas baseavam-se na",A: coação das milícias locais; B: estagnação da dinâmica urbana; C: valorização do proselitismo partidário; D: disseminação de práticas clientelistas; E: centralização de decisões administrativas
2516,1,A,2.27373,1.0434,0.17767,2016,"Dessalinização das águasCapacidade total de dessalinização das águas salobras ou salinas (por país em metros cúbicos por dia)Estados Unidos5 653 941Espanha2 588 658Emirados Árabes Unidos6 228 017Arábia Saudita6 879 869Kuwait2 111 558Japão1 054 274Capacidade instalada (m³/dia): 5 001 a 50 000 50 001 a 500 000500 001 a 1 000 000 acima de 1 000 000EUA. Relatório da Academia Nacional de Ciências, 2008 (adaptado).Conforme a análise do documento cartográfico, a área de concentração das usinas de dessalinização é explicada pelo(a)",A: pioneirismo tecnológico; B: condição hidropedológica; C: escassez de água potável; D: efeito das mudanças climáticas; E: busca da sustentabilidade ambiental
2556,6,D,1.97979,1.19238,0.10246,2016,"Vi os homens sumirem-se numa grande tristeza.  Os melhores cansaram-se das suas obras. Proclamou-se uma doutrina e com ela circulou uma crença: Tudo é oco, tudo é igual, tudo passou! O nosso trabalho foi inútil; o nosso vinho tornou-se veneno; o mau olhado amareleceu-nos os campos e os corações. Secamos de todo, e se caísse fogo em cima de nós, as nossas cinzas voariam em pó. Sim; cansamos o próprio fogo. Todas as fontes secaram para nós, e o mar retirou-se. Todos os solos se querem abrir, mas os abismos não nos querem tragar!NIETZSCHE, F. Assim falou Zaratustra. Rio de Janeiro: Ediouro, 1977.O texto exprime uma construção alegórica, que traduz um entendimento da doutrina niilista, uma vez que",A: reforça a liberdade do cidadão; B: desvela os valores do cotidiano; C: exorta as relações de produção; D: destaca a decadência da cultura; E: ampliﬁca o sentimento de ansiedade
2635,26,A,1.91052,1.45228,0.5,2016,"O Cruzeiro, década  de 1960. Disponível em: www.memoriaviva.com.br. Acesso em: 28 fev. 2012 (adaptado).No anúncio, há referências a algumas das transformações ocorridas no Brasil nos anos 1950 e 1960. No entanto, tais referências omitem transformações que impactaram segmentos da população, como a",A: exaltação da tradição colonial; B: redução da influência estrangeira; C: ampliação da imigração internacional; D: intensiﬁcação da desigualdade regional; E: desconcentração da produção industrial
2658,35,B,2.60776,1.60742,0.06504,2016,"Pesca industrial provoca destruição na ÁfricaO súbito desaparecimento do bacalhau dos grandes cardumes da Terra Nova, no ﬁnal do século XX  — o que ninguém havia previsto —, teve o efeito de um eletrochoque planetário. Lançada pelos bascos no século XV, a pesca e depois a sobrepesca desse grande peixe de água fria levaram ao impensável.  Ao Canadá o bacalhau nunca mais voltou. E o que ocorreu no Atlântico Norte está acontecendo em outros mares. Os maiores navios do mundo seguem agora em direção ao sul, até os limites da Antártida, para competir pelos estoques remanescentes.MORA, J. S. Disponível em: www.diplomatique.com.br. Acesso em: 14 jan. 2014.O problema exposto no texto jornalístico relaciona-se à",A: insustentabilidade do modelo de produção e consumo; B: fragilidade ecológica de ecossistemas costeiros; C: inviabilidade comercial dos produtos marinhos; D: mudança natural nos oceanos e mares; E: vulnerabilidade social de áreas pobres
2663,30,B,1.56624,1.75392,0.07902,2016,"A mundialização introduz o aumento da produtividade do trabalho sem acumulação de capital, justamente pelo caráter divisível da forma técnica molecular-digital do que resulta a permanência da má distribuição da renda: exempliﬁcando mais uma vez, os vendedores de refrigerantes às portas dos estádios viram sua produtividade aumentada graças ao just in time dos fabricantes e distribuidores de bebidas, mas para realizar o valor de tais mercadorias, a forma do trabalho dos vendedores é a mais primitiva. Combinam-se, pois, acumulação molecular-digital com o puro uso da força de trabalho.OLIVEIRA, F. Crítica à razão dualista e o ornitorrinco . Campinas: Boitempo, 2003.Os aspectos destacados no texto afetam diretamente questões como emprego e renda, sendo possível explicar essas transformações pelo(a)",A: crise bancária e o fortalecimento do capital industrial; B: inovação toyotista e a regularização do trabalho formal; C: impacto da tecnologia e as modiﬁcações na estrutura produtiva; D: emergência da globalização e a expansão do setor secundário; E: diminuição do tempo de trabalho e a necessidade de diploma superior
2710,21,E,1.23126,-0.01092,0.03168,2016,"Ser moderno é encontrar-se em um ambiente que promete aventura, poder, alegria, crescimento, autotransformação e transformação das coisas em redor — mas ao mesmo tempo ameaça destruir tudo o que temos, tudo o que sabemos, tudo o que somos. A experiência ambiental da modernidade anula todas as fronteiras geográﬁcas e raciais, de classe e nacionalidade: nesse sentido, pode-se dizer que a modernidade une a espécie humana. Porém, é uma unidade paradoxal, uma unidade de desunidade.BERMAN, M. Tudo que é sólido desmancha no ar : a aventura da modernidade. São Paulo: Cia. das Letras, 1986 (adaptado).O texto apresenta uma interpretação da modernidade que a caracteriza como um(a)",A: dinâmica social contraditória; B: interação coletiva harmônica; C: fenômeno econômico estável.; D: sistema internacional decadente; E: processo histórico homogeneizador
2731,32,E,0.88302,1.39311,0.03588,2016,"Não estou mais pensando como costumava pensar. Percebo isso de modo mais acentuado quando estou lendo. Mergulhar num livro, ou num longo artigo, costumava ser fácil. Isso raramente ocorre atualmente. Agora minha atenção começa a divagar depois de duas ou três páginas. Creio que sei o que está acontecendo. Por mais de uma década venho passando mais tempo on-line, procurando e surfando e algumas vezes acrescentando informação à grande biblioteca da internet. A internet tem sido uma dádiva para um escritor como eu. Pesquisas que antes exigiam dias de procura em jornais ou na biblioteca agora podem ser feitas em minutos. Como disse o teórico da comunicação Marshall McLuhan nos anos 60, a mídia não é apenas um canal passivo para o tráfego de informação. Ela fornece a matéria, mas também molda o processo de pensamento. E o que a net parece fazer é pulverizar minha capacidade de concentração e contemplação.CARR, N. Is Google making us stupid?  Disponível em: www.theatlantic.com.Acesso em: 17 fev. 2013 (adaptado).Em relação à internet, a perspectiva defendida pelo autor ressalta um paradoxo que se caracteriza por",A: associar uma experiência superﬁcial à abundância de informações; B: condicionar uma capacidade individual à desorganização da rede; C: agregar uma tendência contemporânea à aceleração do tempo; D: aproximar uma mídia inovadora à passividade da recepção; E: equiparar uma ferramenta digital à tecnologia analógica
2737,14,B,2.66147,1.0009,0.15185,2016,"Uma scena franco-brazileira: “franco” — pelo local e os personagens, o local que é Paris e os personagens que são pessôas do povo da grande capital; “brazileira” pelo que ahi se está bebendo: café do Brazil. O Lettreiro diz a verdade apregoando que esse é o melhor de todos os cafés. (Essa página foi desenhada especialmente para A Illustração Brazileira pelo Sr. Tofani, desenhista do Je Sais Tout.)A Illustração Brazileira, n. 2, 15 jun. 1909 (adaptado).A página do periódico do início do século XX documenta um importante elemento da cultura francesa, que é revelador do papel do Brasil na economia mundial, indicado no seguinte aspecto:",A: Prestador de serviços gerais; B: Exportador de bens industriais; C: Importador de padrões estéticos; D: Fornecedor de produtos agrícolas; E: Formador de padrões de consumo
2758,27,D,3.41348,0.88565,0.18541,2016,"Participei de uma entrevista com o músico Renato Teixeira. Certa hora, alguém pediu para listar as diferenças entre a música sertaneja antiga e a atual. A resposta dele surpreendeu a todos: “Não há diferença alguma. A música caipira sempre foi a mesma. É uma música que espelha a vida do homem no campo, e a música não mente. O que mudou não foi a música, mas a vida no campo”. Faz todo sentido: a música caipira de raiz exalava uma solidão, um certo distanciamento do país “moderno”. Exigir o mesmo de uma música feita hoje, num interior conectado, globalizado e rico como o que temos, é impossível. Para o bem ou para o mal, a música reflete seu próprio tempo.BARCINSKI, A. Mudou a música ou mudaram os caipiras? Folha de São Paulo , 4 jun. 2012 (adaptado).",A: questão cultural indicada no texto ressalta o seguinte aspecto socioeconômico do atual campo brasileiro:A Crescimento do sistema de produção extensiva; B: Expansão de atividades das novas ruralidades; C: Persistência de relações de trabalho compulsório; D: Contenção da política de subsídios agrícolas; E: Fortalecimento do modelo de organização cooperativa
2774,39,A,2.00333,1.01952,0.01741,2016,"O número de ﬁ  lhos por casal diminui rapidamente. Para a maioriados economistas, isso representa um alerta para o futuro.Taxa de fecundidade total1,92,42,94,45,81,02,03,04,05,06,0BRASILChina Coreia do SulPortugalEUAJapãoFontes: IBGE e OCDE2000 1990 1980 1970 2010Disponível em: http://epoca.globo.com. Acesso em: 20 out. 2015 (adaptado).Uma consequência socioeconômica para os países que vivenciam o fenômeno demográﬁ  co ilustrado é a diminuição da",A: oferta de mão de obra nacional; B: média de expectativa de vida; C: disponibilidade de serviços de saúde; D: despesa de natureza previdenciária; E: imigração de trabalhadores q ualiﬁ  cados
95,36,B,1.48784,1.74819,0.25985,2017,"No império africano do Mali, no século XIV, Tombuctu foi centro de um comércio internacional onde tudo era negociado — sal, escravos, marﬁm etc. Havia também um grande comércio de livros de história, medicina, astronomia e matemática, além de grande concentração de estudantes. A importância cultural de Tombuctu pode ser percebida por meio de um velho provérbio: “O sal vem do norte, o ouro vem do sul, mas as palavras de Deus e os tesouros da sabedoria vêm de Tombuctu”. ASSUMPÇÃO, J. E. África: uma história a ser reescrita. In: MACEDO, J. R. (Org.). Desvendando a história da África. Porto Alegre: UFRGS, 2008 (adaptado).Uma explicação para o dinamismo dessa cidade e sua importância histórica no período mencionado era o(a)",A:  isolamento geográﬁco do Saara ocidental; B:  exploração intensiva de recursos naturais; C:  posição relativa nas redes de circulação; D:  tráﬁco transatlântico de mão de obra servil; E:  competição econômica dos reinos da região
371,29,E,1.96986,0.66199,0.05233,2017,"Após a Declaração Universal dos Direitos Humanos pela ONU, em 1948, a Unesco publicou estudos de cientistas de todo o mundo que desqualiﬁcaram as doutrinas racistas e demonstraram a unidade do gênero humano. Desde então, a maioria dos próprios cientistas europeus passou a reconhecer o caráter discriminatório da pretensa superioridade racial do homem branco e a condenar as aberrações cometidas em seu nome.SILVEIRA, R. Os selvagens e a massa: papel do racismo cientíﬁco na montagem da hegemonia ocidental. Afro-Ásia, n. 23, 1999 (adaptado).A posição assumida pela Unesco, a partir de 1948, foi motivada por acontecimentos então recentes, dentre os quais se destacava o(a)",A:  ataque feito pelos japoneses à base militar americana de Pearl Harbor. ; B:  desencadeamento da Guerra Fria e de novas rivalidades entre nações; C:  morte de milhões de soldados nos combates da Segunda Guerra Mundial.; D:  execução de judeus e eslavos presos em guetos e campos de concentração nazistas; E:  lançamento de bombas atômicas em Hiroshima e Nagasaki pelas forças norte-americanas
384,22,E,1.71998,1.3582,0.1909,2017,"A moralidade, Bentham exortava, não é uma questão de agradar a Deus, muito menos de ﬁdelidade a regras abstratas. A moralidade é a tentativa de criar a maior quantidade de felicidade possível neste mundo. Ao decidir o que fazer, deveríamos, portanto, perguntar qual curso de conduta promoveria a maior quantidade de felicidade para todos aqueles que serão afetados.RACHELS, J. Os elementos da filosofia moral . Barueri-SP: Manole, 2006.Os parâmetros da ação indicados no texto estão em conformidade com uma",A:  fundamentação cientíﬁca de viés positivista; B:  convenção social de orientação normativa; C:  transgressão comportamental religiosa; D:  racionalidade de caráter pragmático; E:  inclinação de natureza passional
453,7,E,4.05683,1.56767,0.21096,2017,"Fala-se muito nos dias de hoje em direitos do homem. Pois bem: foi no século XVIII — em 1789, precisamente — que uma Assembleia Constituinte produziu e proclamou em Paris a Declaração dos Direitos do Homem e do Cidadão. Essa Declaração se impôs como necessária para um grupo de revolucionários, por ter sido preparada por uma mudança no plano das ideias e das mentalidades: o Iluminismo.FORTES, L. R. S. O Iluminismo e os reis filósofos .  São Paulo: Brasiliense, 1981 (adaptado).Correlacionando temporalidades históricas, o texto apresenta uma concepção de pensamento que tem como uma de suas bases a",A: modernização da educação escolar; B: atualização da disciplina moral cristã; C: divulgação de costumes aristocráticos.; D: socialização do conhecimento cientíﬁco; E: universalização do princípio da igualdade civil
498,20,C,3.12528,2.15381,0.15346,2017,"Art. 231. São reconhecidos aos índios sua  organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre as terras  que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os  seus bens.BRASIL. Constituição da República Federativa do Brasil de 1988.  Disponível em: www.planalto.gov.br. Acesso em: 27 abr. 2017.",A: persistência das reivindicações relativas à aplicação desse preceito normativo tem em vista a vinculação histórica fundamental entreA  etnia e miscigenação racial; B:  sociedade e igualdade jurídica; C:  espaço e sobrevivência cultural; D:  progresso e educação ambiental; E:  bem-estar e modernização econômica
528,23,E,2.32054,2.67352,0.26115,2017,"Fotograﬁa de Augusto Gomes Leal e da ama de leite  Mônica, cartão de visita de 1860.KOUTSOUKOS, S. S. M. Amas mercenárias: o discurso dos doutores em medicina e os retratos de amas – Brasil, segunda metade do século XIX. História, Ciência, Saúde-Manguinhos, 2009.  Disponível em: http://dx.doi.org. Acesso em: 8 maio 2013.A fotograﬁa, datada de 1860, é um indício da cultura escravista no Brasil, ao expressar a","A: ambiguidade do trabalho doméstico exercido pela  ama de leite, desenvolvendo uma relação de  proximidade e subordinação em relação aos senhores; B: integração dos escravos aos valores das classes médias, cultivando a família como pilar da sociedade imperial; C: melhoria das condições de vida dos escravos observada pela roupa luxuosa, associando o trabalho doméstico a privilégios para os cativos; D: esfera da vida privada, centralizando a ﬁgura feminina para aﬁrmar o trabalho da mulher na educação letrada dos infantes; E: distinção étnica entre senhores e escravos, demarcando a convivência entre estratos sociais como meio para superar a mestiçagem"
580,37,B,1.41913,1.00435,0.21614,2017,"A conﬁguração do espaço urbano da região do Entorno do Distrito Federal assemelha-se às demais aglomerações urbanas e regiões metropolitanas do país, onde é facilmente identiﬁcável a constituição de um centro dinâmico e desenvolvido, onde se concentram as oportunidades de trabalho e os principais serviços, e a constituição de uma região periférica concentradora de população de baixa renda, com acesso restrito às principais atividades com capacidade de acumulação e produtividade, e aos serviços sociais e infraestrutura básica.CAIADO, M. C. A migração intrametropolitana e o processo de estruturação do espaço urbano da Região Integrada de Desenvolvimento do Distrito Federal e Entorno. In: HOGAN, D. J. et al. (Org.). Migração e ambiente nas aglomerações urbanas. Campinas: Nepo/Unicamp, 2002.A organização interna do aglomerado urbano descrito é resultado da ocorrência do processo de",A:  expansão vertical; B:  polarização nacional.; C:  emancipação municipal; D:  segregação socioespacial; E:  desregulamentação comercial
615,43,A,2.2504,1.23952,0.22323,2017,"México, Colômbia, Peru e Chile decidiram seguir um caminho mais curto para a integração regional. Os quatro países, em meados de 2012, criaram a Aliança do Pacíﬁco e eliminaram, em 2013, as tarifas aduaneiras de 90% do total de produtos comercializados entre suas fronteiras.OLIVEIRA, E. Aliança do Pacíﬁco se fortalece e Mercosul ﬁca à sua sombra.  O Globo , 24 fev. 2013 (adaptado).O acordo descrito no texto teve como objetivo econômico para os países-membros",A: promover a livre circulação de trabalhadores; B: fomentar a competitividade no mercado externo; C: restringir investimentos de empresas multinacionais; D: adotar medidas cambiais para subsidiar o setor agrícola; E: reduzir a ﬁscalização alfandegária para incentivar o consumo
743,18,B,1.2352,1.24001,0.25203,2017,"Tipologia de área% de chuvaretida no localescoadaBacias naturais/florestas 80 a 100 0 a 20Bacias com ocupação agrícola/cultivos40 a 60 40 a 60Bacias com ocupação residencial40 a 50 50 a 60Bacias com ocupação urbana pesada0 a 10 90 a 100 MACHADO, P. J. O.; TORRES, F. T. P. Introdução à hidrogeografia .  São Paulo: Cengage Learning, 2012 (adaptado).A leitura dos dados revela que as áreas com maior cobertura vegetal têm o potencial de intensiﬁcar o processo de",A:  erosão laminar; B:  intemperismo físico; C:  enchente nas cidades; D:  compactação do solo; E:  recarga dos aquíferos
766,25,B,1.66136,0.83888,0.0888,2017,"O desgaste acelerado sempre existirá se o agricultor não tiver o devido cuidado de combater as causas, relacionadas a vários processos, tais como: empobrecimento químico e lixiviação provocados pelo esgotamento causado pelas colheitas e pela lavagem vertical de nutrientes da água que se inﬁltra no solo, bem como pela retirada de elementos nutritivos com as colheitas. Os nutrientes retirados, quando não repostos, são comumente substituídos por elementos tóxicos, como, por exemplo, o alumínio.LEPSCH, I. Formação e conservação dos solos.  São Paulo: Oﬁcina de Textos, 2002 (adaptado).",A: dinâmica ambiental exempliﬁcada no texto gera a seguinte consequência para o solo agricultável:A  Elevação da acidez; B:  Ampliação da salinidade; C:  Formação de voçorocas; D:  Remoção da camada superior; E:  Intensiﬁcação do escoamento superﬁcial
965,45,D,1.46099,1.33455,0.21994,2017,"Os maiores consumidores da infraestrutura logística para exportação no Brasil são os produtos a granel, dentre os quais se destacam o minério de ferro, petróleo e seus derivados e a soja, que, por possuírem baixo valor agregado, e por serem movimentados em grandes volumes, necessitam de uma infraestrutura de grande porte e baixos custos. No caso da soja, a infraestrutura deixa muito a desejar, resultando em enormes ﬁlas de navios, caminhões e trens, que, por ﬁcarem grande parte do tempo ociosos nas ﬁlas, têm seu custo majorado, onerando fortemente o exportador, afetando sua margem de lucro e ameaçando nossa competitividade internacional.FLEURY, P. F. A infraestrutura e os desafios logísticos das exportações brasileiras.  Rio de Janeiro: CEL; Coppead; UFRJ, 2005 (adaptado).No contexto do início do século XXI, uma ação para solucionar os problemas logísticos da soja apresentados no texto seria a",A: isenção de impostos de transportes; B: construção de terminais atracadouros; C: diversiﬁcação dos parceiros comerciais; D: contratação de trabalhadores portuários; E: intensiﬁcação do policiamento das rodovias
970,19,B,3.51578,0.89353,0.27377,2017,"A diversidade de atividades relacionadas ao setor terciário reforça a tendência mais geral de desindustrialização de muitos dos países desenvolvidos sem que estes, contudo, percam o comando da economia. Essa mudança implica nova divisão internacional do trabalho, que não é mais apoiada na clara segmentação setorial das atividades econômicas.RIO, G. A. P. A espacialidade da economia. In: CASTRO, I. E.; GOMES, P. C. C.; CORRÊA, R. L. (Org.). Olhares geográficos: modos de ver e viver o espaço. Rio de Janeiro:   Bertrand Brasil, 2012 (adaptado).Nesse contexto, o fenômeno descrito tem como um de seus resultados a",A: saturação do setor secundário; B:  ampliação dos direitos laborais; C:  bipolarização do poder geopolítico; D:  consolidação do domínio tecnológico; E:  primarização das exportações globais
997,41,C,1.72981,1.54535,0.15437,2017,"Muitos países se caracterizam por terem populações multiétnicas. Com frequência, evoluíram desse modo ao longo de séculos. Outras sociedades se tornaram multiétnicas mais rapidamente, como resultado de políticas incentivando a migração, ou por conta de legados coloniais e imperiais. GIDDENS, A. Sociologia . Porto Alegre: Penso, 2012 (adaptado).Do ponto de vista do funcionamento das democracias contemporâneas, o modelo de sociedade descrito demanda, simultaneamente,",A: defesa do patriotismo e rejeição ao hibridismo; B: universalização de direitos e respeito à diversidade; C: segregação do território e estímulo ao autogoverno; D: políticas de compensação e homogeneização do idioma.; E: padronização da cultura e repressão aos particularismos
1020,5,A,3.73153,1.43814,0.11749,2017,Figura 1Figura 2JFMAMTemperatura Taxa de pluviosidadeJJASOND−101020304050ºC mm0204060801000Cidade do CaboBarcelona MoscouMumbaiSydneyDisponível em: https://pt.climate-data.org. Acesso em: 12 maio 2017 (adaptado) .As temperaturas médias mensais e as taxas de pluviosidade expressas no climograma apresentam o clima típico da seguinte cidade:,"A:  Cidade do Cabo (África do Sul), marcado pela reduzida amplitude térmica anual; B:  Sydney (Austrália), caracterizado por precipitações abundantes no decorrer do ano; C:  Mumbai (Índia), deﬁnido pelas chuvas monçônicas torrenciais; D:  Barcelona (Espanha), afetado por massas de ar seco; E:  Moscou (Rússia), influenciado pela localização geográﬁca em alta latitude"
