numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas,gabarito_texto,distratores,enunciado_limpo,alternativas_limpo,gabarito_texto_limpo,distratores_limpo
59,C,1.83018,0.5613,0.10742,2023,"Descrição da charge: A charge, da artista Laerte, apresenta três quadrinhos de uma mulher sentada no chão segurando uma lâmpada mágica do Gênio. No primeiro quadrinho, a mulher pede para a lâmpada: “Eu queria poder.”. No segundo quadrinho, a lâmpada questiona: “Força? Visão de raio X? Telecinese? Telepatia?”. No terceiro quadrinho, a mulher responde: “Poder político.”.EU QUERIAPODER.FORÇA? VISÃO DERAIO X? TELECINESE?TELEPATIA?PODERPOLÍTICO.","A: charge ilustra um anseio presente na sociedade contemporânea, que se caracteriza pelaA A situação de revolta individual; B: B satisfação de desejos pessoais; C: C participação em ações decisórias; D: D permanência em passividade social; E: E conivência em interesses partidários",C participação em ações decisórias,"charge ilustra um anseio presente na sociedade contemporânea, que se caracteriza pelaA A situação de revolta individual; B satisfação de desejos pessoais; D permanência em passividade social; E conivência em interesses partidários",apresenta artista charge chão deraio descrição força gênio laerte lâmpada mulher mágica pede poder poderpolítico político primeiro quadrinho quadrinhos queria queriapoder questiona raio responde segundo segurando sentada telecinese telepatia terceiro três visão x,A: anseio caracteriza charge contemporânea ilustra individual pelaa presente revolta situação sociedade; B: b desejos pessoais satisfação; C: ações c decisórias participação; D: d passividade permanência social; E: conivência interesses partidários,ações c decisórias participação,anseio b caracteriza charge conivência contemporânea d desejos ilustra individual interesses partidários passividade pelaa permanência pessoais presente revolta satisfação situação social sociedade
60,E,2.53325,0.6643,0.17011,2023,Quem se mete pelo caminho do pedido de perdão deve estar pronto a escutar uma palavra de recusa. Entrar na atmosfera do perdão é aceitar medir-se com a possibilidade sempre aberta do imperdoável. Perdão pedido não é perdão a que se tem direito [devido]. É com o preço destas reservas que a grandeza do perdão se manifesta.,A: reflexão sobre o perdão apresentada no texto encontra fundamento na(s)A A rejeição particular amparada pelo desejo de poder; B: B decisão subjetiva determinada pela vontade divina; C: C liberdade mitigada pela predestinação do espírito; D: D escolhas humanas definidas pelo conhecimento empírico; E: E relações interpessoais mediadas pela autonomia dos indivíduos,E relações interpessoais mediadas pela autonomia dos indivíduos,reflexão sobre o perdão apresentada no texto encontra fundamento na(s)A A rejeição particular amparada pelo desejo de poder; B decisão subjetiva determinada pela vontade divina; C liberdade mitigada pela predestinação do espírito; D escolhas humanas definidas pelo conhecimento empírico,aberta aceitar atmosfera caminho destas deve devido direito entrar escutar grandeza imperdoável manifesta medir mete palavra pedido perdão possibilidade preço pronto recusa reservas sempre,A: amparada apresentada desejo encontra fundamento particular perdão poder reflexão rejeição s sobre texto; B: b decisão determinada divina subjetiva vontade; C: c espírito liberdade mitigada predestinação; D: conhecimento d definidas empírico escolhas humanas; E: autonomia indivíduos interpessoais mediadas relações,autonomia indivíduos interpessoais mediadas relações,amparada apresentada b c conhecimento d decisão definidas desejo determinada divina empírico encontra escolhas espírito fundamento humanas liberdade mitigada particular perdão poder predestinação reflexão rejeição s sobre subjetiva texto vontade
61,E,3.29734,1.19128,0.15604,2023,"–CH • 1 º DIA • CADERNO 9 • LARANJA –TEXTO 2Paulo Freire construiu uma pedagogia da esperança. Na sua concepção, a história não é algo pronto e acabado. As estruturas de opressão e as desigualdades, apesar de serem naturalizadas, são sócio e historicamente construídas. Daí a importância de os educandos tomarem consciência da sua realidade para, assim, transformá-la.Com base no conceito de ética pedagógica presente nos textos, os educandos tornam-se responsáveis pela",A: A participação sociopolítica; B: B definição estético-cultural; C: C competição econômica local; D: D manutenção do sistema escolar.; E: E capacitação de mobilidade individual,E capacitação de mobilidade individual,A participação sociopolítica; B definição estético-cultural; C competição econômica local; D manutenção do sistema escolar.,acabado algo apesar assim base caderno ch conceito concepção consciência construiu construídas daí desigualdades dia educandos esperança estruturas freire historicamente história importância la laranja naturalizadas opressão pedagogia pedagógica presente pronto realidade responsáveis serem sócio texto textos tomarem tornam transformá ética,A: participação sociopolítica; B: b cultural definição estético; C: c competição econômica local; D: d escolar manutenção sistema; E: capacitação individual mobilidade,capacitação individual mobilidade,b c competição cultural d definição econômica escolar estético local manutenção participação sistema sociopolítica
62,C,0.71667,1.29861,0.03594,2023,"A Cordilheira do Himalaia tem mais de 50 milhões de anos, sendo classificada como a maior cordilheira do planeta. Originário da língua sânscrito, comum na região, seu nome quer dizer “morada da neve”. É possível encontrar nessa cordilheira as quinze maiores montanhas do mundo. Ao todo, existem mais de cem picos, que contam com altitudes bem maiores que 7 000 metros . O Everest, considerado o ponto mais alto da Terra, tem nada menos que 8 848 metros  de altitude, e continua crescendo, aproximadamente, 0,8 milímetro  a cada ano.Qual dinâmica natural é responsável pelo fenômeno apresentado?",A: A Derrame de lava vulcânica; B: B Encontro de placas tectônicas; C: C Ação do intemperismo químico; D: D Sedimentação de erosão eólica; E: E Derretimento de geleiras glaciais,C Ação do intemperismo químico,A Derrame de lava vulcânica; B Encontro de placas tectônicas; D Sedimentação de erosão eólica; E Derretimento de geleiras glaciais,altitude altitudes alto ano anos apresentado aproximadamente bem cada cem classificada comum considerado contam continua cordilheira crescendo dinâmica dizer encontrar everest existem fenômeno himalaia língua maior maiores menos metros milhões milímetro montanhas morada mundo nada natural nessa neve nome originário picos planeta ponto possível quer quinze região responsável sendo sânscrito terra todo,A: derrame lava vulcânica; B: b encontro placas tectônicas; C: ação c intemperismo químico; D: d erosão eólica sedimentação; E: derretimento geleiras glaciais,ação c intemperismo químico,b d derrame derretimento encontro erosão eólica geleiras glaciais lava placas sedimentação tectônicas vulcânica
63,A,1.5807,1.18538,0.13863,2023,"Quinta conversa: o homem visto de foraMaurice Merleau-PontyEu poderia concluir que a raiva é um pensamento, que estar com raiva é pensar que alguém é detestável, e que esse pensamento, como todos os outros — assim como Descartes o mostrou —, não poderia residir em nenhum fragmento de matéria. A raiva seria, portanto, espírito. Porém, quando me volto para minha própria experiência da raiva, devo confessar que ela não estava fora do meu corpo, mas inexplicavelmente nele.No que se refere ao problema do corpo, a filosofia cartesiana apresenta-se como contraponto ao entendimento expresso no texto por",A: A apresentar uma visão dualista; B: B confirmar uma tese naturalista; C: C demonstrar uma premissa realista; D: D sustentar um argumento idealista; E: E defender uma posição intencionalista,A apresentar uma visão dualista,B confirmar uma tese naturalista; C demonstrar uma premissa realista; D sustentar um argumento idealista; E defender uma posição intencionalista,alguém apresenta assim cartesiana concluir confessar contraponto conversa corpo descartes detestável devo entendimento espírito experiência expresso filosofia foramaurice fragmento homem inexplicavelmente matéria merleau mostrou nele nenhum outros pensamento pensar poderia pontyeu portanto porém problema própria quinta raiva refere residir texto todos visto volto,A: apresentar dualista visão; B: b confirmar naturalista tese; C: c demonstrar premissa realista; D: argumento d idealista sustentar; E: defender intencionalista posição,apresentar dualista visão,argumento b c confirmar d defender demonstrar idealista intencionalista naturalista posição premissa realista sustentar tese
64,B,2.78931,0.82081,0.25733,2023,"Superar a história da escravidão como principal marca da trajetória do negro no país tem sido uma tônica daqueles que se dedicam a pesquisar as heranças de origem afro à cultura brasileira. A esse esforço de reconstrução da própria história do país, alia-se agora a criação da plataforma digital Ancestralidades. “A história do negro no Brasil vai continuar sendo contada, e cada passo que a gente dá para trás é um passo que a gente avança”, diz Márcio Black, idealizador da plataforma, sobre o estudo de figuras ainda encobertas pela perspectiva histórica imposta pelos colonizadores da América.Em relação ao conhecimento sobre a formação cultural brasileira, iniciativas como a descrita no texto favorecem o(a)",A: A recuperação do tradicionalismo; B: B estímulo ao antropocentrismo; C: C reforço do etnocentrismo; D: D resgate do teocentrismo; E: E crítica ao eurocentrismo,B estímulo ao antropocentrismo,A recuperação do tradicionalismo; C reforço do etnocentrismo; D resgate do teocentrismo; E crítica ao eurocentrismo,afro agora ainda alia américa ancestralidades avança black brasil brasileira cada colonizadores conhecimento contada continuar criação cultura cultural daqueles dedicam descrita digital diz dá encobertas escravidão esforço estudo favorecem figuras formação gente heranças história histórica idealizador imposta iniciativas marca márcio negro origem passo país perspectiva pesquisar plataforma principal própria reconstrução relação sendo sido sobre superar texto trajetória trás tônica vai,A: recuperação tradicionalismo; B: antropocentrismo b estímulo; C: c etnocentrismo reforço; D: d resgate teocentrismo; E: crítica eurocentrismo,antropocentrismo b estímulo,c crítica d etnocentrismo eurocentrismo recuperação reforço resgate teocentrismo tradicionalismo
65,A,1.22125,2.63782,0.30445,2023,"A Guerra da PalestinaEscrito durante a Primeira Guerra Mundial, o seguinte trecho faz parte da carta enviada pelo secretário do exterior britânico, Sir Arthur James Balfour, ao banqueiro Lord Rotschild, presidente da Liga Sionista, em 2 de novembro de 1917, a carta ficou conhecida como Declaração Balfour:“O governo de Sua Majestade vê com aprovação o estabelecimento na Palestina de um lar nacional para o povo judeu, e fará todos os esforços para facilitar tal objetivo. Nada será feito que possa prejudicar os direitos civis e religiosos das comunidades não judaicas na Palestina.”A análise do resultado do processo em questão revela que o governo inglês foi incapaz de garantir seu objetivo de",A: A promover o bem-estar social; B: B negociar o apoio muçulmano; C: C mediar os conflitos territoriais; D: D estimular a cooperação regional; E: E combater os governos autocráticos,A promover o bem-estar social,B negociar o apoio muçulmano; C mediar os conflitos territoriais; D estimular a cooperação regional; E combater os governos autocráticos,análise aprovação arthur balfour banqueiro britânico carta civis comunidades conhecida declaração direitos durante enviada esforços estabelecimento exterior facilitar fará faz feito ficou garantir governo guerra incapaz inglês james judaicas judeu lar liga lord majestade mundial nacional nada novembro objetivo palestina palestinaescrito parte possa povo prejudicar presidente primeira processo questão religiosos resultado revela rotschild secretário seguinte sionista sir tal todos trecho vê,A: bem promover social; B: apoio b muçulmano negociar; C: c conflitos mediar territoriais; D: cooperação d estimular regional; E: autocráticos combater governos,bem promover social,apoio autocráticos b c combater conflitos cooperação d estimular governos mediar muçulmano negociar regional territoriais
66,D,3.20901,-0.05645,0.29486,2023,"Descrição do infográfico:  O infográfico representa simulações em duas sequências de mapas-múndi.A primeira sequência de mapas, intitulada Simulação de mudança da temperatura média anual em relação ao período pré-industrial em três cenários de aquecimento global , é constituída de três mapas-múndi, que apresentam variação da média do aquecimento global em 1,5 grau, 2 graus e 4 graus Celsius. Há uma escala de tonalidade indicando o aumento de temperatura, que varia de 0 a 7 graus Celsius, evidenciando um aumento da temperatura em regiões da Terra nos três cenários apresentados, especialmente nas regiões polares.A segunda sequência de mapas, intitulada Simulação de mudança da pluviosidade média anual em relação ao período pré-industrial em três cenários de aquecimento global , é constituída de três mapas-múndi, que apresentam variação da média do aquecimento global em 1,5 grau, 2 graus e 4 graus Celsius. Há uma escala de variação em percentual das chuvas, que começa em menos 40 por cento (mais seco) até mais 40 por cento (mais úmido), indicando uma diminuição das chuvas, principalmente nas médias latitudes, e um aumento das chuvas, especialmente nas altas latitudes e em porções da Zona Equatorial da Terra.Simulação de mudança da temperatura média anual em relação ao período pré-industrial em três cenários de aquecimento globalSimulação de mudança da pluviosidade média anual em relação ao período pré-industrial em três cenários de aquecimento global1,5 °C  de aquecimento global 2 °C  de aquecimento global 4 °C  de aquecimento global1,5 °C  de aquecimento global 2 °C  de aquecimento globalVariação (°C)Mais seco Mais úmidoMais quenteVariação (%)4 °C  de aquecimento global0-40 -30 -20 -10 0 10 20 30 40Fonte: IPCC0,5 11,5 22,5 33,5 44,5 55,5 66,5 7Qual medida é capaz de minimizar as mudanças apresentadas nas simulações?",A: A Expandir o transporte marítimo; B: B Incentivar os fluxos migratórios; C: C Monitorar as atividades vulcânicas; D: D Controlar as emissões de carbono; E: E Priorizar a utilização de termoelétricas,D Controlar as emissões de carbono,A Expandir o transporte marítimo; B Incentivar os fluxos migratórios; C Monitorar as atividades vulcânicas; E Priorizar a utilização de termoelétricas,altas anual apresentadas apresentados apresentam aquecimento aumento c capaz celsius cento cenários chuvas começa constituída descrição diminuição duas equatorial escala especialmente evidenciando global globalsimulação globalvariação grau graus indicando industrial infográfico intitulada latitudes mapas medida menos minimizar mudança mudanças média médias múndi percentual período pluviosidade polares porções primeira principalmente pré quentevariação regiões relação representa seco segunda sequência sequências simulação simulações temperatura terra tonalidade três varia variação zona úmido úmidomais,A: expandir marítimo transporte; B: b fluxos incentivar migratórios; C: atividades c monitorar vulcânicas; D: carbono controlar d emissões; E: priorizar termoelétricas utilização,carbono controlar d emissões,atividades b c expandir fluxos incentivar marítimo migratórios monitorar priorizar termoelétricas transporte utilização vulcânicas
67,B,2.01758,1.4703,0.23595,2023,"Memórias póstumas de Brás CubasMachado de AssisNão tinha outra filosofia. Nem eu. Não digo que a Universidade me não tivesse ensinado alguma; mas eu decorei-lhe só as fórmulas, o vocabulário, o esqueleto. Tratei-a como tratei o latim; embolsei três versos de Virgílio, dois de Horácio, uma dúzia de locuções morais e políticas, para as despesas da conversação. Tratei-os como tratei a história e a jurisprudência. Colhi de todas as cousas a fraseologia, a casca, a ornamentação.A descrição crítica do personagem de Machado de Assis assemelha-se às características dos sofistas, contestados pelos filósofos gregos da Antiguidade, porque se mostra alinhada à",A: A elaboração conceitual de entendimentos; B: B utilização persuasiva do discurso; C: C narração alegórica dos rapsodos; D: D investigação empírica da physis; E: E expressão pictográfica da pólis,B utilização persuasiva do discurso,A elaboração conceitual de entendimentos; C narração alegórica dos rapsodos; D investigação empírica da physis; E expressão pictográfica da pólis,alguma alinhada antiguidade assemelha assis assisnão brás características casca colhi contestados conversação cousas crítica cubasmachado decorei descrição despesas digo dois dúzia embolsei ensinado esqueleto filosofia filósofos fraseologia fórmulas gregos história horácio jurisprudência latim locuções machado memórias morais mostra ornamentação outra personagem políticas porque póstumas sofistas todas tratei três universidade versos virgílio vocabulário,A: conceitual elaboração entendimentos; B: b discurso persuasiva utilização; C: alegórica c narração rapsodos; D: d empírica investigação physis; E: expressão pictográfica pólis,b discurso persuasiva utilização,alegórica c conceitual d elaboração empírica entendimentos expressão investigação narração physis pictográfica pólis rapsodos
68,E,0.81816,1.56049,0.23382,2023,"Havia já muito tempo que a Europa desfrutava os benefícios da vacina e arrancava à morte milhares de inocentes, condenados a serem vítimas do terrível flagelo das bexigas, e o governo de Portugal nunca se lembrara de transmitir ao Brasil a mais útil das descobertas humanas, quando aliás nenhum país mais do que ele carecia deste salutar invento ou se atendesse às vantagens da população ou ao perdimento de imensas somas na mortandade contínua de escravos, que este flagelo devorava. O certo é que mais ocupado de seu ouro que de seus habitantes, Portugal, como em outros muitos casos, esperou que o Brasil por seu próprio impulso remediasse a este mal.Escrito em 1828, o texto expressa a seguinte ideia de origem iluminista:",A: A As leis observáveis regem o mundo material; B: B O monarca racional promove a sociedade justa; C: C O direito natural justifica a liberdade dos homens; D: D A produção da terra garante a riqueza das nações; E: E A responsabilidade dos governantes assegura a saúde dos povos,E A responsabilidade dos governantes assegura a saúde dos povos,A As leis observáveis regem o mundo material; B O monarca racional promove a sociedade justa; C O direito natural justifica a liberdade dos homens; D A produção da terra garante a riqueza das nações,aliás arrancava atendesse benefícios bexigas brasil carecia casos certo condenados contínua descobertas desfrutava deste devorava escravos escrito esperou europa expressa flagelo governo habitantes havia humanas ideia iluminista imensas impulso inocentes invento lembrara mal milhares mortandade morte muitos nenhum nunca ocupado origem ouro outros país perdimento população portugal próprio remediasse salutar seguinte serem somas tempo terrível texto transmitir vacina vantagens vítimas útil,A: leis material mundo observáveis regem; B: b justa monarca promove racional sociedade; C: c direito homens justifica liberdade natural; D: d garante nações produção riqueza terra; E: assegura governantes povos responsabilidade saúde,assegura governantes povos responsabilidade saúde,b c d direito garante homens justa justifica leis liberdade material monarca mundo natural nações observáveis produção promove racional regem riqueza sociedade terra
69,A,3.07524,1.19358,0.14876,2023,"Os movimentos da agricultura urbana no Rio de Janeiro vêm crescendo nos últimos vinte anos, tanto por meio de reproduções de modelos de vida antigos, vinculados ao resgate dos próprios costumes, como — e cada vez mais — são revelados hábitos inventivos nos quais moradores urbanos de diferentes classes sociais, sem nenhuma referência anterior com o campo, passam a se dedicar a essas atividades. Ao possibilitar o acesso ao plantio e, consequentemente, à alimentação, permite-se uma nova relação com o que se come, reduzindo o percurso da cadeia produtiva e aproximando produtores de consumidores, pois ambos se confundem nas experiências de agricultura urbana.A prática agrícola destacada no texto apresenta como vantagem no espaço urbano a",A: A ocupação de lugares ociosos; B: B densificação da área central; C: C valorização do mercado externo; D: D priorização de insumos químicos; E: E mecanização de técnicas de cultivo,A ocupação de lugares ociosos,B densificação da área central; C valorização do mercado externo; D priorização de insumos químicos; E mecanização de técnicas de cultivo,acesso agricultura agrícola alimentação ambos anos anterior antigos apresenta aproximando atividades cada cadeia campo classes come confundem consequentemente consumidores costumes crescendo dedicar destacada diferentes espaço experiências hábitos inventivos janeiro meio modelos moradores movimentos nenhuma nova passam percurso permite plantio pois possibilitar produtiva produtores prática próprios quais reduzindo referência relação reproduções resgate revelados rio sociais tanto texto urbana urbano urbanos vantagem vez vida vinculados vinte vêm últimos,A: lugares ociosos ocupação; B: b central densificação área; C: c externo mercado valorização; D: d insumos priorização químicos; E: cultivo mecanização técnicas,lugares ociosos ocupação,b c central cultivo d densificação externo insumos mecanização mercado priorização químicos técnicas valorização área
70,B,1.80595,1.97568,0.17809,2023,"TEXTO 1O pessimistaGabriel García MárquezGerineldo dorme porque já está conformado com o seu mundo. Porque já sabe tudo o que lhe pode acontecer após haver submetido todos os objetos que o rodeiam a um minucioso inventário de possibilidades. Seu apartamento, mais que um apartamento, é uma teoria de sorte e de azar. Melhor que ninguém, Gerineldo conhece o coeficiente da dilatação de suas janelas e mantém marcado no termômetro, com uma linha vermelha, o ponto em que se quebrarão os vidros, despedaçados em estilhaços de morte. Sabe que os arquitetos e os engenheiros já previram tudo, menos o que nunca já aconteceu.TEXTO 2O ser e o nada: ensaio de ontologia fenomenológicaJean-Paul SartreA situação é o sujeito inteiro (ele não é nada a não ser a sua situação) e é também a coisa inteira (nunca há mais nada senão as coisas). É o sujeito a elucidar as coisas pela sua própria superação, se assim quisermos; ou são as coisas a reenviar ao sujeito a imagem dele. É a total facticidade, a contingência absoluta do mundo, do meu nascimento, do meu lugar, do meu passado, dos meus redores — e é a minha liberdade sem limites que faz com que haja para mim uma facticidade.A postura determinista adotada pelo personagem Gerineldo contrasta com a ideia existencialista contida no pensamento filosófico de Sartre porque",A: A evidencia a manifestação do inconsciente; B: B nega a possibilidade de transcendência; C: C contraria o conhecimento difuso; D: D sustenta a fugacidade da vida; E: E refuta a evolução biológica,B nega a possibilidade de transcendência,A evidencia a manifestação do inconsciente; C contraria o conhecimento difuso; D sustenta a fugacidade da vida; E refuta a evolução biológica,absoluta acontecer aconteceu adotada apartamento após arquitetos assim azar coeficiente coisa coisas conformado conhece contida contingência contrasta despedaçados determinista dilatação dorme elucidar engenheiros ensaio estilhaços existencialista facticidade faz fenomenológicajean filosófico garcía gerineldo ideia imagem inteira inteiro inventário janelas liberdade limites linha lugar mantém marcado melhor menos mim minucioso morte mundo márquezgerineldo nada nascimento ninguém nunca objetos ontologia passado paul pensamento personagem pessimistagabriel pode ponto porque possibilidades postura previram própria quebrarão quisermos redores reenviar rodeiam sabe sartre sartrea senão situação sorte submetido sujeito superação teoria termômetro texto todos total tudo vermelha vidros,A: evidencia inconsciente manifestação; B: b nega possibilidade transcendência; C: c conhecimento contraria difuso; D: d fugacidade sustenta vida; E: biológica evolução refuta,b nega possibilidade transcendência,biológica c conhecimento contraria d difuso evidencia evolução fugacidade inconsciente manifestação refuta sustenta vida
71,A,1.04981,1.40616,0.22588,2023,"O Golpe Militar de 1964 foi implacável no combate ao que restava das Ligas Camponesas, generalizadas na década anterior. No entanto, em relação aos sindicatos, sua atitude foi ambígua. Por meio de acordos com os Estados Unidos, foram concebidos centros sindicais e cursos de liderança com base em princípios conservadores e ministrados por membros da Igreja Católica.Os sindicatos rurais foram tratados da forma descrita no texto porque o governo pretendia utilizá-los para",A: A controlar as tensões políticas; B: B limitar a legislação trabalhista; C: C divulgar o programa populista; D: D regularizar a propriedade da terra; E: E estimular a oferta de mão de obra,A controlar as tensões políticas,B limitar a legislação trabalhista; C divulgar o programa populista; D regularizar a propriedade da terra; E estimular a oferta de mão de obra,acordos ambígua anterior atitude base camponesas católica centros combate concebidos conservadores cursos descrita década entanto estados forma generalizadas golpe governo igreja implacável liderança ligas los meio membros militar ministrados porque pretendia princípios relação restava rurais sindicais sindicatos texto tratados unidos utilizá,A: controlar políticas tensões; B: b legislação limitar trabalhista; C: c divulgar populista programa; D: d propriedade regularizar terra; E: estimular mão obra oferta,controlar políticas tensões,b c d divulgar estimular legislação limitar mão obra oferta populista programa propriedade regularizar terra trabalhista
72,D,2.98259,1.04358,0.22825,2023,"Produtores rurais europeus são antigos opositores de um grande acordo com o Mercosul. Na visão deles, existe um nítido risco de concorrência desleal, pois, na Europa, é preciso seguir regras mais rígidas de produção, o que encarece o processo. Assim, eles não conseguiriam competir com os preços, por exemplo, da carne brasileira e teriam seus negócios ameaçados. Por outro lado, o setor industrial europeu se mobiliza a favor do acordo, uma vez que as reduções de tarifas no comércio internacional dariam maior acesso ao mercado sul-americano.  Um exemplo é o setor automotivo europeu, que prevê maior participação e concorrência nos países do Mercosul caso o acordo siga em frente.No contexto do acordo citado, os dois grupos econômicos europeus defendem, respectivamente, a",A: A restrição dos fluxos migratórios e a maior atuação de sindicatos; B: B ampliação das leis trabalhistas e a plena importação de manufaturados; C: C proteção das florestas nacionais e a ampla transferência de tecnologias; D: D manutenção das barreiras fitossanitárias e a livre circulação de mercadorias; E: E remoção dos entraves alfandegários e a melhor remuneração de empregados,D manutenção das barreiras fitossanitárias e a livre circulação de mercadorias,A restrição dos fluxos migratórios e a maior atuação de sindicatos; B ampliação das leis trabalhistas e a plena importação de manufaturados; C proteção das florestas nacionais e a ampla transferência de tecnologias; E remoção dos entraves alfandegários e a melhor remuneração de empregados,acesso acordo ameaçados americano antigos assim automotivo brasileira carne caso citado competir comércio concorrência conseguiriam contexto dariam defendem desleal dois econômicos encarece europa europeu europeus exemplo existe favor frente grande grupos industrial internacional lado maior mercado mercosul mobiliza negócios nítido opositores outro participação países pois preciso prevê preços processo produtores produção reduções regras respectivamente risco rurais rígidas seguir setor siga sul tarifas vez visão,A: atuação fluxos maior migratórios restrição sindicatos; B: ampliação b importação leis manufaturados plena trabalhistas; C: ampla c florestas nacionais proteção tecnologias transferência; D: barreiras circulação d fitossanitárias livre manutenção mercadorias; E: alfandegários empregados entraves melhor remoção remuneração,barreiras circulação d fitossanitárias livre manutenção mercadorias,alfandegários ampla ampliação atuação b c empregados entraves florestas fluxos importação leis maior manufaturados melhor migratórios nacionais plena proteção remoção remuneração restrição sindicatos tecnologias trabalhistas transferência
73,E,3.83368,0.79149,0.11063,2023,"Ilusões perdidasHonoré de BalzacDurante a Revolução Francesa, um certo padre Niollant escondeu-se no pequeno castelo de L’Escarbas. Pagou amplamente a hospitalidade do velho fidalgo ocupando-se da educação de sua filha, Anaïs. A presença da mãe em nada modificou essa educação masculina dada a uma jovem criatura já muito inclinada à independência em virtude da vida no campo. O padre transmitiu à aluna sua intrepidez de opiniões e sua facilidade de julgamento, sem pensar que essas qualidades, tão necessárias num homem, se tornam defeitos numa mulher destinada aos humildes afazeres de mãe de família. Embora o padre recomendasse continuamente à aluna ser tanto mais graciosa e modesta quanto seu saber era mais extenso, a senhorita de Nègrepelisse ficou com excelente opinião de si mesma.O comportamento desenvolvido pela personagem evidencia uma postura de",A: A abandono de laços afetivos; B: B negação da ideia de subjetividade; C: C aceitação da hierarquia de gênero; D: D consolidação da estratificação social; E: E ruptura de valores institucionalizados,E ruptura de valores institucionalizados,A abandono de laços afetivos; B negação da ideia de subjetividade; C aceitação da hierarquia de gênero; D consolidação da estratificação social,afazeres aluna amplamente anaïs balzacdurante campo castelo certo comportamento continuamente criatura dada defeitos desenvolvido destinada educação embora escarbas escondeu evidencia excelente extenso facilidade família ficou fidalgo filha francesa graciosa homem hospitalidade humildes ilusões inclinada independência intrepidez jovem julgamento l masculina mesma modesta modificou mulher mãe nada necessárias niollant nègrepelisse ocupando opinião opiniões padre pagou pensar pequeno perdidashonoré personagem postura presença qualidades quanto recomendasse revolução saber senhorita si tanto tornam transmitiu tão velho vida virtude,A: abandono afetivos laços; B: b ideia negação subjetividade; C: aceitação c gênero hierarquia; D: consolidação d estratificação social; E: institucionalizados ruptura valores,institucionalizados ruptura valores,abandono aceitação afetivos b c consolidação d estratificação gênero hierarquia ideia laços negação social subjetividade
74,B,3.81176,0.7442,0.24129,2023,"TEXTO 1Oriunda da Romênia, Genny Gleizer aportou no Brasil em 1932. Assim como milhares de judeus do Leste Europeu, sua vinda para o Brasil ocorreu em um momento de ascensão do antissemitismo na Europa que tornava precárias suas vidas. O Brasil se colocava como uma possibilidade na busca por condições de sobrevivência e desenvolvimento.TEXTO 2A presença judaica no Brasil foi criando aos poucos certas desconfianças que se refletiram em órgãos da imprensa e em círculos intelectuais e políticos. Em parte, essa imagem negativa adviria da onda nacionalista surgida no final dos anos 1910, que concebia imigrantes como concorrentes dos trabalhadores brasileiros, ou como seres improdutivos, exploradores da mão de obra e da riqueza autóctone. Além disso, as elites políticas da época acreditavam que os estrangeiros eram portadores das doutrinas anarquista e comunista, estranhas à “índole do povo brasileiro”. Esses “indesejáveis” seriam um mal externo que corromperia a nação.Conforme descrito nos textos, o tratamento dispensado aos grupos mencionados se fundamentava em",A: A preceitos teológicos e religiosos; B: B aspectos socioeconômicos e ideológicos; C: C regulamentações territoriais e alfandegárias; D: D orientações constitucionais e estatutárias; E: E decretos legislativos e internacionais,B aspectos socioeconômicos e ideológicos,A preceitos teológicos e religiosos; C regulamentações territoriais e alfandegárias; D orientações constitucionais e estatutárias; E decretos legislativos e internacionais,acreditavam adviria além anarquista anos antissemitismo aportou ascensão assim autóctone brasil brasileiro brasileiros busca certas colocava comunista concebia concorrentes condições conforme corromperia criando círculos desconfianças descrito desenvolvimento dispensado disso doutrinas elites estrangeiros estranhas europa europeu exploradores externo final fundamentava genny gleizer grupos imagem imigrantes imprensa improdutivos indesejáveis intelectuais judaica judeus leste mal mencionados milhares momento mão nacionalista nação negativa obra ocorreu onda parte políticas políticos portadores possibilidade poucos povo precárias presença refletiram riqueza romênia seres sobrevivência surgida texto textos tornava trabalhadores tratamento vidas vinda época índole órgãos,A: preceitos religiosos teológicos; B: aspectos b ideológicos socioeconômicos; C: alfandegárias c regulamentações territoriais; D: constitucionais d estatutárias orientações; E: decretos internacionais legislativos,aspectos b ideológicos socioeconômicos,alfandegárias c constitucionais d decretos estatutárias internacionais legislativos orientações preceitos regulamentações religiosos teológicos territoriais
